,author,count
258,"Reed, Myrtle",5
259,"Machen, Arthur",5
260,"Onions, Oliver",5
261,"Grant, Robert",5
262,"Warner, Anne",5
263,"Norton, Andre",5
264,"Bonner, Geraldine",5
265,"Garvice, Charles",5
266,"Crockett, S. R. (Samuel Rutherford)",5
267,"Le Feuvre, Amy",5
268,"Brown, Alice",5
269,"Johnson, Owen",5
270,"Mansfield, M. F. (Milburg Francisco)",5
271,"Ballou, Maturin M. (Maturin Murray)",5
272,"Lankester, E. Ray (Edwin Ray), Sir",5
273,"Overton, Grant M. (Grant Martin)",5
274,"Mitton, G. E. (Geraldine Edith)",5
275,"Delafield, E. M.",5
276,"Marchmont, Arthur W.",5
277,"Westerman, Percy F. (Percy Francis)",5
278,"Arlen, Michael",5
279,"Bowen, Marjorie",5
280,"Peard, Frances Mary",5
281,"Farjeon, B. L. (Benjamin Leopold)",5
282,"Taggart, Marion Ames",5
283,"Deeping, Warwick",5
284,"Woolf, Virginia",4
285,"Lowell, Amy",4
286,"Muir, John",4
287,"Stratton-Porter, Gene",4
288,"Lindsay, Vachel",4
289,"Crane, Stephen",4
290,"Le Gallienne, Richard",4
291,"Dostoyevsky, Fyodor",4
292,"Gorky, Maksim",4
293,"Russell, Bertrand",4
294,"Hearn, Lafcadio",4
295,"Christie, Agatha",4
296,"Strachey, Lytton",4
297,"Lytton, Edward Bulwer Lytton, Baron",4
298,"Leblanc, Maurice",4
299,"Beerbohm, Max, Sir",4
300,"Irving, Washington",4
301,"Mühlbach, L. (Luise)",4
302,"Moore, Frank Frankfort",4
303,"Smollett, T. (Tobias)",4
304,"Burke, Thomas",4
305,"Loti, Pierre",4
306,"Turgenev, Ivan Sergeevich",4
307,"Fabre, Jean-Henri",4
308,"Pedler, Margaret",4
309,"Jenkins, Herbert George",4
310,"Lewis, Alfred Henry",4
311,"Cambridge, Ada",4
312,"Bierce, Ambrose",4
313,"Fitzgerald, F. Scott (Francis Scott)",4
314,"De Mille, James",4
315,"Turner, Ethel",4
316,"Bulfinch, Thomas",4
317,"Adams, Samuel Hopkins",4
318,"Coolidge, Susan",4
319,"Phelps, William Lyon",4
320,"Burnham, Margaret",4
321,"Hergesheimer, Joseph",4
322,"Shiel, M. P. (Matthew Phipps)",4
323,"Milne, A. A. (Alan Alexander)",4
324,"Hudson, W. H. (William Henry)",4
325,"England, George Allan",4
326,"Buck, Charles Neville",4
327,"Sudermann, Hermann",4
328,"Barr, Robert",4
329,"Lever, Charles James",4
330,"Wilson, Harry Leon",4
331,"Glyn, Elinor",4
332,"Vance, Louis Joseph",4
333,"Brooks, Charles S. (Charles Stephen)",4
334,"Train, Arthur Cheney",4
335,"Phelps, Elizabeth Stuart",4
336,"Torrey, Bradford",4
337,"Douglas, O.",4
338,"Stephen, Leslie",4
339,"Hughes, Rupert",4
340,"Cooke, Marjorie Benton",4
341,"Sheldon, Georgie, Mrs.",4
342,"Benson, Stella",4
343,"Cable, Boyd",4
344,"Russell, George William Erskine",4
345,"Bolton, Sarah Knowles",4
346,"Goldfrap, John Henry",4
347,"Daviess, Maria Thompson",4
348,"Somerville, E. Oe. (Edith Oenone) ; Ross, Martin",4
349,"Saintsbury, George",4
350,"Finley, Martha",4
351,"Swinnerton, Frank",4
352,"Addams, Jane",4
353,"Conquest, Joan",4
354,"Beers, Henry A. (Henry Augustin)",4
355,Duchess,4
356,"Mackenzie, Donald A. (Donald Alexander)",4
357,"Symons, Arthur",4
358,"Comstock, Harriet T. (Harriet Theresa)",4
359,"Abbott, Jane",4
360,"Mencken, H. L. (Henry Louis)",4
361,"Caine, Hall, Sir",4
362,"Frost, Robert",4
363,"Curtis, Alice Turner",4
364,"Bartlett, Frederick Orin",4
365,Pansy,4
366,"Leland, Charles Godfrey",4
367,"Ellis, Havelock",4
368,"Weyman, Stanley John",4
369,"Hocking, Joseph",4
370,"Roy, Lillian Elizabeth",4
371,"Van Vechten, Carl",4
372,"Robins, Elizabeth",4
373,"Masefield, John",4
374,"Anstey, F.",4
375,"Coolidge, Dane",4
376,"Blanchard, Amy Ella",4
377,"McFee, William",4
378,"Michelet, Jules",4
379,"George, Walter Lionel",4
380,"Smith, E. E. (Edward Elmer)",4
381,"Baring, Maurice",4
382,"Couperus, Louis",4
383,"Leverage, Henry",4
384,"Walsh, James J. (James Joseph)",4
385,"Vivanti, Annie",4
386,"Emerson, Ralph Waldo",4
387,"Manning, Anne",4
388,"Harland, Marion",4
389,"Sackville-West, V. (Victoria)",4
390,"McCabe, Joseph",4
391,A. L. O. E.,4
392,"Thomas, Edward",4
393,"Kelland, Clarence Budington",4
394,"Harper, Charles G. (Charles George)",4
395,"Seawell, Molly Elliot",4
396,"Capes, Bernard",4
397,"Bordeaux, Henry",4
398,Plato,3
399,"Leroux, Gaston",3
400,"Brooke, Rupert",3
401,"Porter, Eleanor H. (Eleanor Hodgman)",3
402,"Churchill, Winston",3
403,"Milton, John",3
404,"Borrow, George",3
405,"Field, Eugene",3
406,Saki,3
407,"Lamb, Charles ; Lamb, Mary",3
408,"Gilbert, W. S. (William Schwenck)",3
409,"Grey, Zane",3
410,"Wister, Owen",3
411,"Edgeworth, Maria",3
412,"Meynell, Alice",3
413,"Biggers, Earl Derr",3
414,"Sabatini, Rafael",3
415,"Adams, Henry",3
416,"Dana, Richard Henry",3
417,"Peacock, Thomas Love",3
418,"Pater, Walter",3
419,"Pérez Galdós, Benito",3
420,"De la Mare, Walter",3
421,"Maclaren, Ian",3
422,"Barclay, Florence L. (Florence Louisa)",3
423,"Thoreau, Henry David",3
424,"Pearson, Edmund Lester",3
425,"Call, Annie Payson",3
426,"Nietzsche, Friedrich Wilhelm",3
427,"Norris, Kathleen Thompson",3
428,"Arthur, T. S. (Timothy Shay)",3
429,"Fox, John, Jr.",3
430,"Page, Gertrude",3
431,"Mill, John Stuart",3
432,"Johnson, E. Pauline",3
433,"Baudelaire, Charles",3
434,"Wright, Harold Bell",3
435,"Butler, Samuel",3
436,"Ray, Anna Chapin",3
437,"Schiller, Friedrich",3
438,"Parrish, Randall",3
439,"Day, Clarence",3
440,"Burton, Richard Francis, Sir",3
441,"Catherwood, Mary Hartwell",3
442,"Hawthorne, Julian",3
443,"Anderson, Sherwood",3
444,Thucydides,3
445,"Proust, Marcel",3
446,"Stretton, Hesba",3
447,"Wilcox, Ella Wheeler",3
448,"Strindberg, August",3
