Etext Number,Type,Issued,Title,Language,LoCC,Authors,Opium Keywords,Genres,Themes
307,Text,2008-06-29,"Three Elephant Power, and Other Stories",en,PR,"Paterson, A. B. (Andrew Barton)",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society', 'Australia']","['Frontier and pioneer life', 'Social life and customs', 'Short stories, Australian']"
308,Text,1995-08-01,Three Men in a Boat (To Say Nothing of the Dog),en,PR,"Jerome, Jerome K. (Jerome Klapka)",['heroin'],"['Fiction', 'Humour', 'Humor', 'Travel & Geography', 'Best Books Ever Listings']","['Young men', 'Male friendship', 'Thames River', 'Dogs', 'Humorous stories, English', 'England', 'Thames River (England)', 'Boats and boating']"
311,Text,2008-07-02,Bunner Sisters,en,PS,"Wharton, Edith",['opium'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Social life and customs', '19th century', 'New York (N.Y.)']"
312,Text,1995-08-01,Young Adventure: A Book of Poems,en,PS,"Benét, Stephen Vincent",['opium'],"['Literature', 'Poetry']",['American poetry']
313,Text,2008-07-02,Children of the Night,en,PS,"Robinson, Edwin Arlington",['anodyne'],"['Literature', 'Poetry']",[]
315,Text,1995-08-01,Rhymes of a Red Cross Man,en,PS,"Service, Robert W. (Robert William)",['poppy'],"['Literature', 'History', 'Poetry', 'Bestsellers, American, 1895-1923']","['World War, 1914-1918']"
316,Text,2008-07-05,The Golden Road,en,PZ; PS,"Montgomery, L. M. (Lucy Maud)","['poppy', 'heroin']","[""Children's Literature"", 'Literature', 'Culture/Civilization/Society', 'Canada', 'Children & Young Adult Reading']","['Authorship', ""Children's stories, Canadian"", 'Prince Edward Island', 'Juvenile fiction', 'Publishers and publishing', 'Friendship']"
318,Text,1995-08-01,John Barleycorn,en,PS,"London, Jack","['opium', 'morphine', 'soporific', 'anodyne']","['Literature', 'Biographies', 'Drugs/Alcohol/Pharmacology']","['Authors, American', '20th century', 'Biography', 'Alcoholics', 'Drinking of alcoholic beverages', 'London, Jack, 1876-1916']"
319,Text,1995-08-01,The Ways of Men,en,PS,"Gregory, Eliot","['opium', 'heroin']","['Literature', 'History']","['American essays', '19th century']"
321,Text,2008-07-09,Moran of the Lady Letty,en,PS,"Norris, Frank",['opium'],"['Fiction', 'Literature', 'Travel & Geography']","['California', 'Sea stories', 'Adventure stories']"
323,Text,2008-06-29,Verses 1889-1896,en,PR,"Kipling, Rudyard",['opium'],"['Literature', 'Culture/Civilization/Society', 'Poetry']",[]
327,Text,1995-09-01,The Princess Aline,en,PS,"Davis, Richard Harding",['heroin'],"['Fiction', 'Literature', 'Bestsellers, American, 1895-1923']","['Princesses', 'Young men']"
330,Text,2006-03-15,Where There's a Will,en,PS,"Rinehart, Mary Roberts",['narcotic'],"['Humour', 'Fiction', 'Crime/Mystery']","['Humorous stories', 'Detective and mystery stories', 'Health resorts', 'Impersonation', 'Love stories', 'Man-woman relationships']"
331,Text,1995-09-01,The Mucker,en,PS,"Burroughs, Edgar Rice",['black smoke'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['20th century', 'Adventure stories', 'American fiction']"
333,Text,1995-09-01,Robert Louis Stevenson,en,PR,"Raleigh, Walter Alexander, Sir","['opium', 'heroin']","['Literature', 'Biographies']","['Stevenson, Robert Louis, 1850-1894', '19th century', 'Biography', 'Authors, Scottish']"
344,Text,1995-10-01,"The Merry Men, and Other Tales and Fables",en,PR,"Stevenson, Robert Louis",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Boys', 'Great Britain', 'Paranormal fiction', 'Treasure troves', '19th century']"
345,Text,1995-10-01,Dracula,en,PR,"Stoker, Bram","['narcotic', 'laudanum']","['Mystery Fiction', 'Fiction', 'Horror', 'Literature', 'Gothic Fiction', 'Movie Books', 'Science-Fiction & Fantasy']","['Vampires', 'Horror tales', 'Dracula, Count (Fictitious character)', 'Transylvania (Romania)', 'Whitby (England)', 'Epistolary fiction']"
346,Text,1995-10-01,"The Troll Garden, and Selected Stories",en,PS,"Cather, Willa","['poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Social life and customs', 'Nebraska', 'Man-woman relationships']"
349,Text,1995-10-01,The Harvester,en,PS,"Stratton-Porter, Gene","['narcotic', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society', 'Bestsellers, American, 1895-1923']","['Herbalists', 'Indiana', 'Didactic fiction']"
350,Text,2008-07-03,Fanny Herself,en,PS,"Ferber, Edna","['narcotic', 'poppy', 'heroin']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Bildungsromans', 'Mothers and daughters', 'Jewish families', 'Wisconsin', 'Jewish girls', 'Autobiographical fiction', 'Jewish fiction']"
351,Text,1995-10-01,Of Human Bondage,en,PR,"Maugham, W. Somerset (William Somerset)","['opium', 'narcotic']","['Fiction', 'Literature']","['Artists', 'Bildungsromans', 'Orphans', 'Physicians', 'People with disabilities']"
352,Text,1995-11-01,Buttered Side Down: Stories,en,PS,"Ferber, Edna",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['20th century', 'Social life and customs']"
353,Text,2008-07-05,"In Flanders Fields, and Other Poems",en,PR,"McCrae, John","['black smoke', 'morphine', 'poppy']","['World War I', 'History', 'Literature', 'Poetry', 'Bestsellers, American, 1895-1923']","['Patriotic poetry', 'English poetry', 'World War, 1914-1918', 'McCrae, John, 1872-1918']"
355,Text,1995-11-01,The Parasite: A Story,en,PR,"Doyle, Arthur Conan",['opium'],"['Fiction', 'Literature']","['Mesmerism', 'Horror tales']"
357,Text,1995-11-01,"A Dream of John Ball; and, A King's Lesson",en,PR,"Morris, William",['poppy'],"['Fiction', 'Literature', 'History']","['Ball, John, -1381', 'Matthias I, King of Hungary, 1443-1490', ""Tyler's Insurrection, 1381"", 'Peasant uprisings']"
361,Text,2008-07-11,Miss Billy — Married,en,PS,"Porter, Eleanor H. (Eleanor Hodgman)",['heroin'],"['Fiction', 'Literature', 'Culture/Civilization/Society']","['Domestic fiction', 'Married women', 'Marriage']"
362,Text,2008-07-11,Miss Billy's Decision,en,PS,"Porter, Eleanor H. (Eleanor Hodgman)",['heroin'],"['Fiction', 'Literature']","['Love stories', 'Man-woman relationships']"
363,Text,2008-07-11,The Oakdale Affair,en,PS,"Burroughs, Edgar Rice","['narcotic', 'morphine']","['Fiction', 'Literature', 'Crime/Mystery']",['Adventure stories']
372,Text,1995-12-01,"Prince Otto, a Romance",en,PR,"Stevenson, Robert Louis","['heroin', 'anodyne']","['Fiction', 'Literature', 'Culture/Civilization/Society']","['Nobility', 'Man-woman relationships']"
377,Text,2008-07-09,Kansas Women in Literature,en,PS,"Barker, Nettie Garmer",['poppy'],"['Literature', 'Culture/Civilization/Society', 'Biographies']","['Biography', 'Intellectual life', 'Homes and haunts', 'Women', 'Women and literature', 'Women authors, American', 'Kansas', 'In literature']"
379,Text,1995-12-01,Worldly Ways & Byways,en,PS,"Gregory, Eliot",['heroin'],"['Literature', 'History']","['American essays', '19th century']"
