Book_ID,Title,Keyword,Snippet
1182,Dope,chandu,*** START OF THE PROJECT GUTENBERG EBOOK 1182 *** [Illustration] Dope By Sax Rohmer CONTENTS PART FIRST—KAZMAH THE DREAM-READER CHAPTER I. A MESSAGE FOR IRVIN CHAPTER II. THE APARTMENTS OF KAZMAH CHAPTER III. KAZMAH CHAPTER IV. THE CLOSED DOOR CHAPTER V. THE DOOR IS OPENED CHAPTER VI. RED KERRY CHAPTER VII. FURTHER EVIDENCE CHAPTER VIII. KERRY CONSULTS THE ORACLE CHAPTER IX. A PACKET OF CIGARETTES CHAPTER X. SIR LUCIEN’S STUDY WINDOW CHAPTER XI. THE DRUG SYNDICATE PART SECOND—MRS. SIN CHAPTER XII. THE MAID OF THE MASQUE CHAPTER XIII. A CHANDU PARTY CHAPTER XIV. IN THE SHADE OF THE LONELY PALM CHAPTER XV. METAMORPHOSIS CHAPTER XVI. LIMEHOUSE CHAPTER XVII. THE BLACK SMOKE CHAPTER XVIII. THE DREAM OF SIN SIN WA CHAPTER XIX. THE TRAFFIC CHAPTER XX. KAZMAH’S METHODS CHAPTER XXI. THE CIGARETTES FROM BUENOS AYRES CHAPTER XXII. THE STRANGLE-HOLD PART THIRD—THE MAN FROM WHITEHALL CHAPTER XXIII. CHIEF INSPECTOR KERRY RESIGNS CHAPTER XXIV. TO INTRODUCE 719 CHAPTER XXV. NIGHT-LIFE OF SOHO CHAPTER XXVI. THE MOODS OF MOLLIE CHAPTER XXVII. CROWN EVIDENCE CHAPTER XXVIII. THE GILDED JOSS CHAPTER XXIX. DOUBTS AND FEARS CHAPTER XXX. THE FIGHT IN THE DARK CHAPTER XXXI. THE STORY
2028,The Yellow Claw,chandu,"was addicted to drugs”... “Opium?” asked Soames, eagerly. Gianapolis smiled. “What an observant mind you have, Soames!” he said. “So you have perceived that these groves are sacred to our Lady of the Poppies? Well, in part that is true. Here, under the auspices of Mr. Ho-Pin, fretful society seeks the solace of the brass pipe; yes, Soames, that is true. Have you ever tried opium?” “Never!” declared Soames, with emphasis, “never!” “Well, it is a delight in store for you! But the reason of our existence as an institution, Soames, is not far to seek. Once the joys of Chandu become perceptible to the neophyte, a great need is felt--a crying need. One may drink opium or inject morphine; these, and other crude measures, may satisfy temporarily, but if one would enjoy the delights of that fairyland, of that enchanted realm which bountiful nature has concealed in the heart of the poppy, one must retire from the ken of goths and vandals who do not appreciate such exquisite delights; one must dedicate, not an hour snatched from grasping society, but successive days and nights to the goddess”... Soames, barely understanding this discourse, listened eagerly to every word of it, whilst"
2058,Messer Marco Polo,chandu,"Po. There is no one. I love no one, Li Po. I do not. I do not, indeed."" ""Then take your lute and sing me the 'Song of the Willow Branches,' which is the saddest song in the world."" She shook her head, and blushed. ""I cannot sing that song, Li Po. I don't feel like singing that song."" ""Then I must write you another song, Little Golden Bells..."" CHAPTER XIII And now when Marco Polo was rested and had recovered, they brought him from the Convent of the Red Monks to where the khan was in the city of Chandu . Now, there were two palaces in Chandu; there was the winter palace, which was of marble, and the summer palace, which was of gilt cane. Around these palaces there was built a wall sixteen miles in compass, and inside of it was a park of fountains, and rivers and brooks with the speckled trout in them, and meadows with the lark at her ease in the grass, and trees of all varieties where the little birds do be building and none to grudge them a home. And all the wild animals were abundant, the timid hare and the wild"
2161,The Song Book of Quong Lee of Limehouse,chandu,"On a Saying of Mencius That was well said of Mencius: The misfortunes of one are the entertainment of many. When Prosperity attended the occasions of this person, And his heart smiled within him, He was regarded and received on all sides by his fellows With attitudes of dignity and expressions of mandarin-like solemnity, And his laughing heart could fetch no smile To the faces of those about him. But when, on a recent manifestation of evil spirits, He was hailed before those in authority And commanded to pay very many taels, For the fault of possessing some morsels of chandu , the Great Tobacco, And his heart was heavy and dark as a raincloud within him, He was received on all sides With attitudes of mirth and expressions of no-gravity. Dockside Noises There are in Limehouse many sounds; A hundred different sounds by day and night. The crash and mutter of the dockside railway, The noise of quarrel, the noise of fist on face, My country's songs, guitars, and gramophones, The noise of boot on stone, The noise of women bargaining their flesh, The noise of singers in the ships, Sounds of threat and sounds of fear, Blasts of hammer"
63073,Limehouse Nights,chandu,"joints shot jets of light and stealthy voices, and you could hear the whisper of slippered feet, and the stuttering steps of the satyr and the sadist. It was to the café in the middle of the Causeway, lit by the pallid blue light that is the symbol of China throughout the world, that Cheng Huan came, to take a dish of noodle and some tea. Thence he moved to another house whose stairs ran straight to the street, and above whose doorway a lamp glowed like an evil eye. At this establishment he mostly took his pipe of “ chandu ” and a brief chat with the keeper of the house, for, although not popular, and very silent, he liked sometimes to be in the presence of his compatriots. Like a figure of a shadowgraph he slid through the door and up the stairs. The chamber he entered was a bit of the Orient squatting at the portals of the West. It was a well-kept place where one might play a game of fan-tan, or take a shot or so of _li-un_, or purchase other varieties of Oriental delight. It was sunk in a purple dusk, though here and there"
2851,Sixes and Sevens,codein,"save time I diagnosed my case, touched my nose with my right forefinger, struck myself below the knee to make my foot kick, sounded my chest, stuck out my tongue, and asked him the price of cemetery lots in Pineville. He lit his pipe and looked at me for about three minutes. “Brother,” he said, after a while, “you are in a mighty bad way. There’s a chance for you to pull through, but it’s a mighty slim one.” “What can it be?” I asked eagerly. “I have taken arsenic and gold, phosphorus, exercise, nux vomica, hydrotherapeutic baths, rest, excitement, codein , and aromatic spirits of ammonia. Is there anything left in the pharmacopœia?” “Somewhere in these mountains,” said the doctor, “there’s a plant growing—a flowering plant that’ll cure you, and it’s about the only thing that will. It’s of a kind that’s as old as the world; but of late it’s powerful scarce and hard to find. You and I will have to hunt it up. I’m not engaged in active practice now: I’m getting along in years; but I’ll take your case. You’ll have to come every day in the afternoon and help me hunt for this plant till"
55276,Twilight,codein,"Your Margaret”—I smiled at him then, knowing he would not understand—“comes to me sometimes at night with my nepenthe, but all day I am alone.” “By your own desire then, I swear. You are not a woman to be left alone if you wanted company.” He dropped into a chair, seemed glad to stay. Presently over tea and crumpets, we were really talking of my illness, and if I had permitted it I have no doubt he would have gone into the matter more closely. As it was he warned me solemnly against the nepenthe and suggested I should try codein as an alternative, a suggestion I ignored completely, unfortunately for myself. “Tell me about your partner,” I said, drinking my tea slowly. “Oh! you’ll like him, all the ladies like him. He is very spruce and rather handsome; dapper, band-boxy. Not tall, turning grey....” “Did she like him?” I persisted. “She would not have him near her. After his first visit she denied herself to him all the time. He used to talk to me about her, he could never understand it, he was not used to that sort of treatment, he is a tremendous favourite about here.” “What did"
55276,Twilight,codein,"nevertheless, and we quarrelled bitterly. The least drawback, however, and I could not bear her out of the room. She did not reproach me, I must say that for her. When a horrible bilious attack followed an invalid dinner of melon and _homard à l’américaine_ she stood by my side for hours trying every conceivable remedy. And without a word of reproach. After my hæmorrhage I had a few weeks’ rest from the neuritis and then it started again. I cried out for my forsaken nepenthe, but Peter Kennedy and Nurse Benham for once agreed, persuaded or forced me to codein . Dear half-sister to my beloved morphia, we became friends at once. Three or four days later the neuritis went suddenly, and has never returned. One night I took the nepenthe as well, and that night I saw Margaret Capel again. “When are you going to begin?” she asked me at once. “The very moment I can hold a pen. Now my hand shakes. And Ella or nurse is always here—I am never alone.” “You’ve forgotten all about me,” she said with indescribable sadness. “You won’t write it at all.” “No, I haven’t. I shall. But when one has been"
55276,Twilight,codein,"inside.” “So you make me guardian and executrix....” “Margaret herself said you were to have them,” he answered seriously. “She didn’t tell you so. You have only my word for it,” I retorted. “Better evidence than that, although that would have been enough. How else did you know they were in existence? Why were you looking for them?” The parcel lay on the quilt, and all sorts of difficulties rose in my mind. I would not open it unless I was alone, and I was never alone; literally never alone unless I was supposed to be asleep. And, thanks to codein , when I was supposed to be asleep the supposition was generally correct! Thinking aloud, I asked Dr. Kennedy: “Am I out of danger?” He answered lightly and evasively: “No one is ever really out of danger. I take my life in my hands every time I go in my motor.” “Oh, yes! I’ve heard about your driving,” I answered drily. He laughed. “I am supposed to be reckless, but really I am only unlucky. With luck now....” “Yes, with luck?” “You might go on for any time. I shouldn’t worry about that if I were you. You are getting"
55276,Twilight,codein,"tentative effort before Ella left. “I don’t want to settle off to sleep just yet, nurse, I should like to read a little. There is a packet of letters....” “No! No! I wouldn’t hear of such a thing. Starting reading at ten o’clock. What will you be wanting to do next?” “It would not do me any harm,” I answered irritably. “I’ve told you before it does me more harm to be contradicted every time I make a suggestion.” “Well, you won’t get me to help you to commit suicide. Night is the time for sleep, and you’ve had your codein .” “The codein does not send me to sleep, it only soothes and quiets me.” “All the more reason you should not wake yourself up by any old letters.” She argued, and I.... At the end I was too tired and out of humour to insist. I made up my mind to do without a nurse as soon as possible, and in the meantime not to argue but to circumvent her. At this time, before Ella went, I was getting up every day for a few hours, lying on the couch by the window. I tested my strength and found"
1182,Dope,heroin,"the deeper shadows, then reclosed the water-gate and ascended to the room where Sir Lucien awaited. Such was the receiving office of Sin Sin Wa. While the wharf remained untenanted it was not likely to be discovered by the authorities, for even at low tide the river-door was invisible from passing craft. Prospective lessees who had taken the trouble to inquire about the rental had learned that it was so high as to be prohibitive. Sin Sin Wa paid fair prices and paid cash. This was no more than a commercial necessity. For those who have opium, cocaine, veronal, or heroin to sell can always find a ready market in London and elsewhere. But one sufficiently curious and clever enough to have solved the riddle of the vacant wharf would have discovered that the mysterious owner who showed himself so loath to accept reasonable offers for the property could well afford to be thus independent. Those who control “the traffic” control El Dorado—a city of gold which, unlike the fabled Manoa, actually exists and yields its riches to the unscrupulous adventurer. Smiling his mirthless, eternal smile, Sin Sin Wa placed the newly purchased stock upon a shelf immediately behind Sam Tûk;"
49525,First Lensman,heroin,"Samms?"" Knobos asked, in deadly earnest. ""I am not _sure_ that this particular agreement was about thionite, no; but the probability is roughly nine-tenths. I _am_ sure, however, that both Senator Morgan and Ossmen know a lot about thionite that they want to hide. Both gave very high positive reactions--well beyond the six-sigma point of virtual certainty."" There was a pause, broken by the Martian, but not by a thought directed at any one of the three. ""Sid!"" he called, and even Jill could feel the Lensed thought speed. ""Yes, Knobos? Fletcher."" ""That haul-in you made, out in the asteroids. Heroin , hadive, and ladolian, wasn't it? No thionite involved anywhere?"" ""No thionite. However, you must remember that part of the gang got away, so all I can say positively is that we didn't see, or hear about, any thionite. There was some gossip, of course: but you know there always is."" ""Of course. Thanks, Sid."" Jill could feel the brilliant Martian's mental gears whirl and click. Then he went into such a flashing exchange of thought with the Venerian that the girl lost track in seconds. ""One more question, Miss Samms?"" DalNalten asked. ""Have you detected any indications that there"
5073,The War Terror,heroin,"all, Walter,” he said as we swung aboard an uptown car, “I want to stop at the laboratory.” In his den, which had been the scene of so many triumphs, Kennedy began a hasty examination of the tablets, powdering one and testing it with one chemical after another. “What are they?” I asked at length when he seemed to have found the right reaction which gave him the clue. “Happy dust,” he answered briefly. “Happy dust?” I repeated, looking at him a moment in doubt as to whether he was joking or serious. “What is that?” “The Tenderloin name for heroin —a comparatively new derivative of morphine. It is really morphine treated with acetic acid which renders it more powerful than morphine alone.” “How do they take them? What’s the effect?” I asked. “The person who uses heroin usually powders the tablets and snuffs the powder up the nose,” he answered. “In a short time, perhaps only two or three weeks, one can become a confirmed victim of ‘happy dust.’ And while one is under its influence he is morally, physically and mentally irresponsible.” Kennedy was putting away the paraphernalia he had used, meanwhile talking about the drug. “One of the"
5163,Guy Garrick,heroin,"only stare at the outfit before me, speechless. ""In Paris, where I got this,"" continued Garrick, ""they call these people who use it, 'endormeurs'--sleepmakers. That must have been what the Chief meant when he used that word. I knew it."" ""Sleepmakers,"" I repeated in horror at the very idea of such a thing being attempted on a young girl like Violet Winslow. ""Yes. The standard equipment of such a criminal consists of these little thin glass globes, a tiny glass hypodermic syringe with a sharp steel point, doped cigars and cigarettes. They use various derivatives of opium, like morphine and heroin , also codeine, dionin, narcein, ethyl chloride and bromide, nitrite of amyl, amylin,--and the skill that they have acquired in the manipulation of these powerful drugs stamps them as the most dangerous coterie of criminals in existence. Now,"" he concluded, ""doubt it or not, we have to deal with a man who is a proficient student of these sleepmakers. Who is he, where is he, and when will he strike?"" Garrick was now pacing excitedly up and down the room. ""You see,"" he added, ""the police of Europe by their new scientific methods are driving such criminals out of the"
53289,The Restless Sex,heroin,"continued to tint photographs and skate as long as she was able to be about; he loafed in front of theatres and hotels, with a quarter in change in his pockets, but always came back to meals. On sunny afternoons, when he felt well, he strolled about the residence section or reposed in his room waiting, probably, for Opportunity to knock and enter. But nothing came except the baby. About that time, too, both lungs being in bad condition, young Quest began those various and exhaustive experiments in narcotics, which sooner or later interest such men. And he finally discovered heroin . Finding it an agreeable road to hell, the symptomatic characteristics of an addict presently began to develop in him, and he induced his young wife to share the pleasures of his pharmaceutical discovery. They and their baby continued to encumber the apartment for a year or two before the old people died—of weariness perhaps, perhaps of old age—or grief—or some similar disease so fatal to the aged. Anyway, they died, and there remained nothing in the estate not subject to creditors. And, as tinted photographs had gone out of fashion even in Utica, and as the advent of moving"
1182,Dope,laudanum,"surely,” said Rita, “one pipe of opium will not produce all these wonders.” “Some people never experience them at all,” interrupted Miss Gretna. “The great idea is to get into a comfortable position, and just resign yourself—let yourself go. Oh, it’s heavenly!” Cyrus Kilfane turned his dull eyes in Rita’s direction. “A question of temperament and adaptability,” he murmured. “De Quincey, Pyne”—slowly turning towards the baronet—“is didactic, of course; but his _Confessions_ may be true, nevertheless. He forgets, you see, that he possessed an unusual constitution, and the temperament of a Norwegian herring. He forgets, too, that he was a laudanum drinker, not an opium smoker. Now you, my daughter”—the lustreless eyes again sought Rita’s flushed face—“are vivid—intensely vital. If you can succeed in resigning yourself to the hypnosis induced your experiences will be delightful. Trust your Uncle Cy.” Leaving Rita chatting with Miss Gretna, Kilfane took Pyne aside, offering him a cigarette from an ornate, jewelled case. “Hello,” said the baronet, “can you still get these?” “With the utmost difficulty,” murmured Kilfane, returning the case to his pocket. “Lola charges me five guineas a hundred for them, and only supplies them as a favor. I shall be glad to get"
1646,Roads of Destiny,laudanum,"old _mortuis nisi bonum_. Look at Antietam and Bull Run and Seven Pines and around Nashville! There never was a battle where we didn't lick ye unless you was ten to our one. I knew you were a blame Yankee the minute I laid eyes on you.' ""'Don't reopen the chasm, Doc,' I begs him. 'Any Yankeeness I may have is geographical; and, as far as I am concerned, a Southerner is as good as a Filipino any day. I'm feeling to bad too argue. Let's have secession without misrepresentation, if you say so; but what I need is more laudanum and less Lundy's Lane. If you're mixing that compound gefloxide of gefloxicum for me, please fill my ears with it before you get around to the battle of Gettysburg, for there is a subject full of talk.' ""By this time Doc Millikin had thrown up a line of fortifications on square pieces of paper; and he says to me: 'Yank, take one of these powders every two hours. They won't kill you. I'll be around again about sundown to see if you're alive.' ""Old Doc's powders knocked the chagres. I stayed in San Juan, and got to knowing him better."
2776,The Four Million,laudanum,"call you ‘Pete,’” says my master; and if I’d had five tails I couldn’t have done enough wagging to do justice to the occasion. THE LOVE-PHILTRE OF IKEY SCHOENSTEIN The Blue Light Drug Store is downtown, between the Bowery and First Avenue, where the distance between the two streets is the shortest. The Blue Light does not consider that pharmacy is a thing of bric-a-brac, scent and ice-cream soda. If you ask it for pain-killer it will not give you a bonbon. The Blue Light scorns the labour-saving arts of modern pharmacy. It macerates its opium and percolates its own laudanum and paregoric. To this day pills are made behind its tall prescription desk—pills rolled out on its own pill-tile, divided with a spatula, rolled with the finger and thumb, dusted with calcined magnesia and delivered in little round pasteboard pill-boxes. The store is on a corner about which coveys of ragged-plumed, hilarious children play and become candidates for the cough drops and soothing syrups that wait for them inside. Ikey Schoenstein was the night clerk of the Blue Light and the friend of his customers. Thus it is on the East Side, where the heart of pharmacy is not glacé."
4085,The Adventures of Roderick Random,laudanum,"the negligence of my servants, who suffered a beast, a mule, a bear, to surprise me, and stink me into convulsions with the fumes of tobacco.” Simper, who by this time, I found, was obliged to act for the clearness of his complexion, assumed an air of softness and sympathy, and lamented with many tender expressions of sorrow, the sad accident that had thrown him into that condition; then, feeling his patient’s pulse on the outside of his glove, gave it as his opinion, that his disorder was entirely nervous, and that some drops of tincture of castor, and liquid laudanum , would be of more service to him than bleeding, by bridling the inordinate sallies of his spirits, and composing the fermentation of his bile. I was therefore sent to prepare this prescription, which was administered in a glass of sack posset, after the captain had been put to bed, and orders sent to the officers on the quarter-deck, to let nobody walk on that side under which he lay. While the captain enjoyed his repose the doctor watched over him, and indeed became so necessary, that a cabin was made for him contiguous to the state room where Whiffle"
7306,Autobiographic Sketches,laudanum,"were moulded by the gentlest of sisters, and not by horrid, pugilistic brothers; finally, that I and they were dutiful and loving members of a pure, holy, and magnificent church. * * * * * The earliest incidents in my life, which left stings in my memory so as to be remembered at this day, were two, and both before I could have completed my second year; namely, 1st, a remarkable dream of terrific grandeur about a favorite nurse, which is interesting to myself for this reason--that it demonstrates my dreaming tendencies to have been constitutional, and not dependent upon laudanum ; [3] and, 2dly, the fact of having connected a profound sense of pathos with the reappearance, very early in the spring, of some crocuses. This I mention as inexplicable: for such annual resurrections of plants and flowers affect us only as memorials, or suggestions of some higher change, and therefore in connection with the idea of death; yet of death I could, at that time, have had no experience whatever. This, however, I was speedily to acquire. My two eldest sisters-- eldest of three _then_ living, and also elder than myself--were summoned to an early death. The first who"
1182,Dope,morphine,"tiny bowl of one of the ivory pipes, having first held the bowl inverted for a moment over the lamp. She turned to Rita. “The guest of the evening,” she said. “Do not be afraid. Inhale—oh, so gentle—and blow the smoke from the nostrils. You know how to smoke?” “The same as a cigarette?” asked Rita excitedly, as Mrs. Sin bent over her. “The same, but very, very gentle.” Rita took the pipe and raised the mouthpiece to the lips. CHAPTER XIV. IN THE SHADE OF THE LONELY PALM Persian opium of good quality contains from ten to fifteen percent morphine , and _chandu_ made from opium of Yezd would contain perhaps twenty-five per cent of this potent drug; but because in the act of smoking distillation occurs, nothing like this quantity of morphine reaches the smoker. To the distilling process, also, may be due the different symptoms resulting from smoking _chandu_ and injecting morphia—or drinking tincture of opium, as De Quincey did. Rita found the flavor of the preparation to be not entirely unpleasant. Having overcome an initial aversion, caused by its marked medicinal tang, she grew reconciled to it and finished her first smoke without experiencing any other effect"
