Book_ID,Keyword,Etext Number,Authors,LoCC,Published Year,Author Gender,Assigned_Gender,Character_Name,Verb,Role,Agency,Power,Sentiment
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,consign,agent,,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,proceed,agent,1.0,,0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,point,agent,,,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,ask,theme,,1.0,0.2
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,oblige,theme,,1.0,0.5
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,sit,agent,-1.0,,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,rise,agent,1.0,,0.366666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,bring,agent,1.0,1.0,0.233333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,tell,agent,1.0,0.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,take,agent,1.0,0.0,0.6
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,give,theme,,-1.0,0.233333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,forget,agent,-1.0,1.0,-0.0666666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,walk,agent,1.0,1.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,straightway,agent,,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,pause,agent,-1.0,,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,hear,agent,-1.0,-1.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Abel,moan,agent,1.0,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,hear,agent,-1.0,-1.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,moan,agent,1.0,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,turn,agent,1.0,1.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,open,agent,1.0,1.0,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,hear,agent,-1.0,-1.0,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,swaller,agent,,,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,do,agent,1.0,1.0,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,say,agent,1.0,0.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,sink,agent,1.0,1.0,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,die,agent,-1.0,,0.3
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,go,agent,0.0,0.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,nurse,theme,,-1.0,
145,opium,145,"Eliot, George",PR,1871,female,Male,Bulstrode,give,theme,,-1.0,0.233333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,go,agent,0.0,0.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,go,agent,0.0,0.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,leave,theme,,-1.0,0.1
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,go,agent,0.0,0.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,know,agent,-1.0,1.0,0.5
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,look,agent,0.0,0.0,0.333333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,put,agent,0.0,1.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,consider,agent,-1.0,0.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,ride,agent,1.0,1.0,0.133333333333
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,decide,agent,1.0,1.0,0.266666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,watch,agent,0.0,1.0,0.6
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,sit,agent,-1.0,,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,feel,agent,0.0,0.0,0.366666666667
145,opium,145,"Eliot, George",PR,1871,female,Male,Raffles,do,agent,1.0,1.0,
145,opium,145,"Eliot, George",PR,1871,female,Female,Anonymous,say,agent,1.0,0.0,0.166666666667
145,opium,145,"Eliot, George",PR,1871,female,Female,Anonymous,give,agent,1.0,1.0,0.4
145,anodyne,145,"Eliot, George",PR,1871,female,Female,Rosamond,leave,theme,,-1.0,0.1
145,anodyne,145,"Eliot, George",PR,1871,female,Female,Rosamond,sleep,agent,-1.0,,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,keep,agent,-1.0,1.0,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,keep,agent,-1.0,1.0,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,give,theme,,-1.0,0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,report,theme,,-1.0,-0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,see,theme,,0.0,0.4
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,lead,agent,1.0,1.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,see,theme,,0.0,0.4
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,come,agent,1.0,,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,declare,agent,1.0,0.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,pick,agent,1.0,1.0,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,take,agent,1.0,0.0,0.6
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,murder,theme,,-1.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,have,agent,,,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,possess,agent,0.0,1.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,report,theme,,-1.0,-0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,report,theme,,-1.0,-0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,start,agent,1.0,1.0,0.666666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,drop,agent,1.0,1.0,0.433333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,take,agent,1.0,0.0,0.6
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,look,agent,0.0,0.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,play,agent,1.0,1.0,0.466666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,question,theme,,-1.0,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,play,agent,1.0,1.0,0.466666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,commit,agent,1.0,1.0,-0.466666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,wander,agent,-1.0,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,show,agent,1.0,1.0,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,take,agent,1.0,0.0,0.6
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Ezra Jennings,defend,agent,1.0,1.0,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,tell,theme,,0.0,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,Yorkshire,wait,agent,-1.0,-1.0,0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,Yorkshire,forbid,agent,1.0,1.0,-0.266666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,Yorkshire,long,agent,,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,understand,agent,0.0,1.0,0.666666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,wrong,agent,,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,wrong,theme,,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,forgive,theme,,-1.0,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Verinder,distress,theme,,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,find,theme,,0.0,0.466666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,have,agent,,,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,have,agent,,,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,promise,agent,1.0,0.0,0.5
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,change,agent,1.0,1.0,0.366666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Blake,start,agent,1.0,1.0,0.666666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,answer,agent,0.0,-1.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,tell,theme,,0.0,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,fidget,agent,0.0,,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,delay,agent,1.0,1.0,-0.2
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,lead,theme,,-1.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Moonstone,encourage,theme,,-1.0,0.5
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,keep,agent,-1.0,1.0,0.533333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,hold,agent,1.0,1.0,0.266666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,cease,agent,-1.0,1.0,-0.2
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,sit,agent,-1.0,,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,begin,agent,1.0,0.0,0.433333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,get,theme,,-1.0,0.2
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Law,watch,theme,,-1.0,0.5
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,go,agent,0.0,0.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,sit,agent,-1.0,,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,rise,agent,1.0,,0.366666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,wait,agent,-1.0,-1.0,0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,look,agent,0.0,0.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,lay,agent,1.0,,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,look,agent,0.0,0.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,lay,agent,1.0,,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,get,agent,1.0,1.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,say,agent,1.0,0.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,look,agent,0.0,0.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Anonymous,take,agent,1.0,0.0,0.6
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,repeat,agent,1.0,-1.0,0.366666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,do,agent,1.0,1.0,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,leave,agent,0.0,1.0,0.0666666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,go,agent,0.0,0.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,go,agent,0.0,0.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,show,agent,1.0,1.0,0.3
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,do,agent,1.0,1.0,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,return,agent,1.0,1.0,0.233333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,move,agent,1.0,1.0,0.133333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,have,agent,,,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,put,agent,0.0,1.0,0.266666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Bruff,lean,agent,1.0,,0.266666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,she,meet,agent,1.0,0.0,0.266666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,she,ask,agent,1.0,-1.0,0.166666666667
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,she,hand,agent,1.0,1.0,0.333333333333
155,opium,155,"Collins, Wilkie",PR,1868,female,Female,she,whisper,agent,1.0,0.0,
155,opium,155,"Collins, Wilkie",PR,1868,female,Male,Story,look,agent,0.0,0.0,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,give,theme,,-1.0,0.233333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,want,agent,-1.0,-1.0,0.166666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,give,theme,,-1.0,0.233333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,know,agent,-1.0,1.0,0.5
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,interrupt,agent,1.0,1.0,-0.2
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,draw,agent,1.0,1.0,0.1
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Lady Verinder’s,say,agent,1.0,0.0,0.166666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,consent,agent,,,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,time,agent,1.0,1.0,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,delay,agent,1.0,1.0,-0.2
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,show,agent,1.0,1.0,0.3
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,like,agent,0.0,-1.0,0.666666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,do,agent,1.0,1.0,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,say,agent,1.0,0.0,0.166666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,read,agent,0.0,1.0,0.233333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,strike,theme,,-1.0,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,unlock,agent,1.0,0.0,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,turn,agent,1.0,1.0,0.166666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,request,agent,0.0,0.0,0.133333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,join,theme,,1.0,0.366666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,begin,agent,1.0,0.0,0.433333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,begin,agent,1.0,0.0,0.433333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Franklin Blake,get,agent,1.0,1.0,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Candy,suppose,agent,0.0,0.0,0.1
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Candy,have,agent,,,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Candy,measure,agent,1.0,0.0,0.266666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Candy,go,agent,0.0,0.0,0.133333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Blake,do,agent,1.0,1.0,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Blake,speak,agent,1.0,,0.7
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Blake,bear,agent,1.0,0.0,0.166666666667
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Blake,give,theme,,-1.0,0.233333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Male,Blake,answer,theme,,1.0,0.233333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,come,agent,1.0,,0.3
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,have,agent,,,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,remain,agent,-1.0,,0.2
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,get,agent,1.0,1.0,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,take,agent,1.0,0.0,0.6
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,whisper,agent,1.0,0.0,
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,lead,agent,1.0,1.0,0.333333333333
155,laudanum,155,"Collins, Wilkie",PR,1868,female,Female,Verinder,answer,agent,0.0,-1.0,0.333333333333
