,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
12630,59807,"With Carson and Frémont
Being the Adventures, in the Years 1842-'43-'44, on Trail Over Mountains and Through Deserts From the East of the Rockies to the West of the Sierras, of Scout Christopher Carson and Lieutenant John Charles Frémont, Leading Their Brave Company Including the Boy Oliver","Sabin, Edwin L. (Edwin Legrand)",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography; Browsing: Fiction,"Frémont, John Charles, 1813-1890 -- Fiction ; Explorers -- Fiction ; Carson, Kit, 1809-1868 -- Fiction ; Discoveries in geography -- Fiction ; PS ; Western stories",Public domain in the USA.,1911,Edwin Legrand Sabin,male,American,1870.0,1952.0,"Wikipedia, Wikidata",True,1
12631,59809,"The Case for Spirit Photography
With corroborative evidence by experienced researchers and photographers","Doyle, Arthur Conan",BF,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,Spiritualism ; BF ; Spirit photography,Public domain in the USA.,1926,Arthur Conan Doyle,male,British,1859.0,1930.0,Wikipedia,True,55
12632,59818,The Markenmore Mystery,"Fletcher, J. S. (Joseph Smith)",PR,Browsing: Crime/Mystery; Browsing: Fiction,Murder -- Investigation -- Fiction ; Detective and mystery stories ; PR,Public domain in the USA.,1923,Joseph Smith Fletcher,male,British,1863.0,1935.0,OpenLibrary,True,10
12633,59823,The White Flag,"Stratton-Porter, Gene",PS,Browsing: Literature; Browsing: Fiction,PS ; Didactic fiction,Public domain in the USA.,1844,Gene Stratton-Porter,female,American,1863.0,1924.0,Wikipedia,True,3
12634,59824,Selected Poems,"Frost, Robert",PS,Browsing: Literature; Browsing: Poetry,American poetry -- 20th century ; PS,Public domain in the USA.,1962,Robert Frost,male,American,1874.0,1963.0,Wikipedia,True,2
12635,59829,The Queer Folk of Fife: Tales from the Kingdom,"Pryde, David",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Fife (Scotland) -- Fiction ; Scotland -- Social life and customs -- Fiction ; Short stories ; PR,Public domain in the USA.,1897,David Pryde,male,"United Kingdom, United Kingdom of Great Britain and Ireland",1834.0,1907.0,"OpenLibrary, Wikidata",True,1
12636,59834,My Young Master: A Novel,"Read, Opie Percival",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Fiction,Slavery -- United States -- Fiction ; PS ; Kentucky -- History -- 19th century -- Fiction,Public domain in the USA.,1896,Opie Percival Read,male,American,1852.0,1939.0,Wikipedia,True,9
12637,59837,"The Book Review Digest, Volume 02, 1906
[Annual Cumulation] Book Reviews of 1906 in One Alphabet",Various,Z,Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Journalism/Media/Writing; Browsing: Teaching & Education,Books -- Reviews -- Periodicals ; Z,Public domain in the USA.,1979,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
12638,59846,"A Comparative View of the Mortality of the Human Species, at All Ages
And of the Diseases and Casualties by Which They Are Destroyed or Annoyed. Illustrated With Charts and Tables","Black, William",RA,Browsing: Health & Medicine; Browsing: Science - General,RA ; Vital statistics -- Early works to 1800 ; Medical statistics -- Early works to 1800 ; Mortality -- Early works to 1800 ; Death -- Causes -- Early works to 1800,Public domain in the USA.,1788,William Black,male,United States,1926.0,1745.0,"OpenLibrary, Wikidata",True,5
12639,59848,Kangaroo,"Lawrence, D. H. (David Herbert)",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,British -- Austria -- Fiction ; PR,Public domain in the USA.,1923,David Herbert Lawrence,male,English,1885.0,1930.0,OpenLibrary,True,19
