,Etext Number,Title,Authors,LoCC,Bookshelves,Subjects,rights,Published Year,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
3805,11978,"Brave Tom; Or, The Battle That Won","Ellis, Edward Sylvester",PZ,Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: Fiction,Aunts -- Juvenile fiction ; Diligence -- Juvenile fiction ; Widows -- Juvenile fiction ; Courage -- Juvenile fiction ; Students -- Juvenile fiction ; PZ ; Children -- Conduct of life -- Juvenile fiction ; Success -- Juvenile fiction ; Conduct of life -- Juvenile fiction,Public domain in the USA.,1894,Edward Sylvester Ellis,male,American,1840.0,1916.0,"Wikipedia, Wikidata",True,8
3806,11987,By Advice of Counsel,"Train, Arthur Cheney",PS,Browsing: Crime/Mystery; Browsing: Law & Criminology; Browsing: Literature,Legal stories ; PS,Public domain in the USA.,1914,Arthur Cheney Train,male,American,1875.0,1945.0,Wikipedia,True,2
3807,11988,The Human Chord,"Blackwood, Algernon",PR,Browsing: Literature; Browsing: Religion/Spirituality/Paranormal; Browsing: Fiction,Paranormal fiction ; PR,Public domain in the USA.,1910,Algernon Blackwood,male,English,1869.0,1951.0,Wikipedia,True,16
3808,11997,Crusoes of the Frozen North,"Stables, Gordon",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Cold -- Juvenile fiction ; Voyages and travels -- Juvenile fiction ; Siblings -- Juvenile fiction ; Storms -- Juvenile fiction ; Uncles -- Juvenile fiction ; Survival -- Juvenile fiction ; PZ ; Adventure stories ; Stowaways -- Juvenile fiction ; Geologists -- Juvenile fiction ; Children -- Conduct of life -- Juvenile fiction ; Rescues -- Juvenile fiction ; Sailors -- Juvenile fiction,Public domain in the USA.,1901,Gordon Stables,male,Scottish,1840.0,1910.0,"Wikipedia, Wikidata",True,2
3809,11998,Sight to the Blind,"Furman, Lucy S.",PS,Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Teaching & Education,Hindman Settlement School ; PS,Public domain in the USA.,1914,Lucy S. Furman,female,American,1870.0,1958.0,Wikipedia,True,2
3810,11999,The Servant in the House,"Kennedy, Charles Rann",PS,Browsing: History - American; Browsing: Literature; Browsing: Fiction,American drama -- 20th century ; PS,Public domain in the USA.,1908,Charles Rann Kennedy,male,United States,1871.0,1950.0,"OpenLibrary, Wikidata",True,1
3811,12001,Studies in Literature,"Morley, John",PN,Browsing: History - General; Browsing: Literature,"Browning, Robert, 1812-1889. Ring and the book ; Hugo, Victor, 1802-1885. Quatrevingt-treize ; Napier, Macvey, 1776-1847 ; Literature -- History and criticism ; PN ; Wordsworth, William, 1770-1850 ; Maine, Henry Sumner, 1822-1888. Popular government",Public domain in the USA.,1890,John Morley,male,British,1838.0,1923.0,"Wikipedia, Wikidata",True,2
3812,12013,"My Year of the War
Including an Account of Experiences with the Troops in France and the Record of a Visit to the Grand Fleet Which is Here Given for the First Time in its Complete Form","Palmer, Frederick",D501,World War I; Browsing: History - General; Browsing: History - Warfare,"World War, 1914-1918 -- Personal narratives ; D501",Public domain in the USA.,1915,Frederick Palmer,male,United Kingdom,1873.0,1958.0,"OpenLibrary, Wikidata",True,3
3813,12015,Love under Fire,"Parrish, Randall",PS,US Civil War; Browsing: History - American; Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction,"PS ; United States -- History -- Civil War, 1861-1865 -- Fiction",Public domain in the USA.,1911,Randall Parrish,male,American,1858.0,1923.0,"Wikipedia, OpenLibrary, Wikidata",True,15
3814,12020,A Woman of the World: Her Counsel to Other People's Sons and Daughters,"Wilcox, Ella Wheeler",BJ,Browsing: Culture/Civilization/Society; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,Conduct of life ; BJ,Public domain in the USA.,1910,Ella Wheeler Wilcox,female,American,1850.0,1919.0,Wikipedia,True,16
3815,12021,Adopting an Abandoned Farm,"Sanborn, Kate",PS,Browsing: Culture/Civilization/Society; Browsing: Fiction,Farm life -- Fiction ; PS,Public domain in the USA.,1894,Kate Sanborn,female,American,1839.0,1917.0,"Wikipedia, OpenLibrary",True,2
3816,12024,"Bred in the Bone; Or, Like Father, Like Son: A Novel","Payn, James",PR,Browsing: Literature; Browsing: Fiction,English fiction ; PR,Public domain in the USA.,1872,James Payn,male,English,1830.0,1898.0,Wikipedia,True,2
3817,12026,Poems New and Old,"Freeman, John",PR,Browsing: Literature; Browsing: Poetry,English poetry ; PR,Public domain in the USA.,1920,John Freeman,male,United Kingdom of Great Britain and Ireland,1974.0,1900.0,"OpenLibrary, Wikidata",True,1
3818,12027,Crime: Its Cause and Treatment,"Darrow, Clarence",HV,Crime Nonfiction; Browsing: Crime/Mystery; Browsing: Reports & Conference Proceedings; Browsing: Sociology,Crime ; HV,Public domain in the USA.,1922,Clarence Darrow,male,American,1857.0,1938.0,Wikipedia,True,2
3819,12031,Collected Poems 1901-1918 in Two Volumes. Volume I.,"De la Mare, Walter",PR,Poetry; Browsing: Literature; Browsing: Poetry,English poetry ; PR,Public domain in the USA.,1800,Walter De la Mare,male,"English, British",1873.0,1956.0,Wikipedia,True,5
3820,12032,Collected Poems 1901-1918 in Two Volumes. Volume II.,"De la Mare, Walter",PR,Poetry; Browsing: Literature; Browsing: Poetry,English poetry ; PR,Public domain in the USA.,1901,Walter De la Mare,male,"English, British",1873.0,1956.0,Wikipedia,True,5
3821,12037,The Wild Knight and Other Poems,"Chesterton, G. K. (Gilbert Keith)",PR,Browsing: Literature; Browsing: Poetry,English poetry ; PR,Public domain in the USA.,1900,Gilbert Keith Chesterton,male,English,1874.0,1936.0,Wikipedia,True,28
3822,12047,Legends of the Madonna as Represented in the Fine Arts,"Jameson, Mrs. (Anna)",N,Browsing: Art & Photography; Browsing: Religion/Spirituality/Paranormal,"N ; Mary, Blessed Virgin, Saint -- Legends ; Mary, Blessed Virgin, Saint -- Art ; Christian saints in art",Public domain in the USA.,1800,Anna Jameson,female,"Irish, English, Anglo-Irish",1794.0,1860.0,Wikipedia,True,1
3823,12054,"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 571 (Supplementary Number)",Various,AP,"The Mirror of Literature, Amusement, and Instruction; Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature",Popular literature -- Great Britain -- Periodicals ; AP,Public domain in the USA.,1800,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
3824,12057,Yolanda: Maid of Burgundy,"Major, Charles",PS,Browsing: History - General; Browsing: Literature; Browsing: Fiction,"Burgundy (France) -- History -- Fiction ; PS ; Marie, Duchess of Burgundy, 1457-1482 -- Fiction",Public domain in the USA.,1905,Charles Major,male,United States,1856.0,1913.0,"OpenLibrary, Wikidata",True,4
3825,12066,"The Atlantic Monthly, Volume 09, No. 52, February, 1862
A Magazine of Literature, Art, and Politics",Various,AP,The Atlantic Monthly; Browsing: Art & Photography; Browsing: Literature; Browsing: Politics,AP ; American periodicals,Public domain in the USA.,1862,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
3826,12067,The Bee-Man of Orn and Other Fanciful Tales,"Stockton, Frank R.",PZ; PS,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,Fairy tales ; PS ; PZ,Public domain in the USA.,1887,Frank R. Stockton,male,American,1834.0,1902.0,"Wikipedia, Wikidata",True,18
3827,12068,"Camp-Fire and Cotton-Field: Southern Adventure in Time of War.
Life with the Union Armies, and Residence on a Louisiana Plantation","Knox, Thomas Wallace",E456,Browsing: History - American; Browsing: History - Warfare,"Cotton growing -- Louisiana ; E456 ; United States -- History -- Civil War, 1861-1865 -- Personal narratives ; Missouri -- History -- Civil War, 1861-1865 ; Mississippi River Valley -- History -- Civil War, 1861-1865 ; Knox, Thomas Wallace, 1835-1896",Public domain in the USA.,1865,Thomas Wallace Knox,male,American,1835.0,1896.0,"Wikipedia, OpenLibrary",True,1
3828,12081,Lives of Girls Who Became Famous,"Bolton, Sarah Knowles",CT,Browsing: Biographies; Browsing: History - General,CT ; Women -- Biography,Public domain in the USA.,1886,Sarah Knowles Bolton,female,American,1841.0,1916.0,Wikipedia,True,1
3829,12083,"Eric; Or, Little by Little","Farrar, F. W. (Frederic William)",PZ,School Stories; Browsing: Children & Young Adult Reading; Browsing: Teaching & Education; Browsing: Fiction,Schools -- Fiction ; PZ,Public domain in the USA.,1858,Frederic William Farrar,male,British,1831.0,1903.0,"Wikipedia, OpenLibrary",True,1
3830,12089,Letters of Travel (1892-1913),"Kipling, Rudyard",G,Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,"G ; Voyages and travels ; Kipling, Rudyard, 1865-1936 -- Correspondence",Public domain in the USA.,1892,Rudyard Kipling,male,"English, British",1865.0,1936.0,Wikipedia,True,35
3831,12092,"The Oxford Movement; Twelve Years, 1833-1845","Church, R. W. (Richard William)",BX,Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,Oxford movement ; BX,Public domain in the USA.,1833,Richard William Church,male,English,1815.0,1890.0,Wikipedia,True,2
3832,12093,The Song of the Stone Wall,"Keller, Helen",PS,Browsing: Literature; Browsing: Poetry,American poetry -- 20th century ; PS,Public domain in the USA.,1910,Helen Keller,female,American,1880.0,1968.0,Wikipedia,True,1
3833,12095,More Bywords,"Yonge, Charlotte M. (Charlotte Mary)",PR,Browsing: Literature; Browsing: Poetry,Poetry ; Short stories ; PR,Public domain in the USA.,1890,Charlotte Mary Yonge,female,English,1823.0,1901.0,Wikipedia,True,24
3834,12100,Between the Dark and the Daylight,"Howells, William Dean",PS,Browsing: Literature; Browsing: Fiction,PS ; Short stories,Public domain in the USA.,1907,William Dean Howells,male,American,1837.0,1920.0,Wikipedia,True,48
3835,12102,Darrel of the Blessed Isles,"Bacheller, Irving",PS,Browsing: Literature; Browsing: Fiction,Fiction ; PS,Public domain in the USA.,1903,Irving Bacheller,male,American,1859.0,1950.0,"Wikipedia, OpenLibrary",True,16
3836,12104,Ethelyn's Mistake,"Holmes, Mary Jane",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Married people -- Fiction ; PS ; United States -- Social life and customs -- Fiction,Public domain in the USA.,1869,Mary Jane Holmes,female,"American, English",1825.0,1907.0,"Wikipedia, OpenLibrary",True,18
3837,12106,"Old Gorgon Graham
More Letters from a Self-Made Merchant to His Son","Lorimer, George Horace",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Men -- Conduct of life -- Fiction ; Chicago (Ill.) -- Fiction ; Social ethics -- Fiction ; Merchants -- Fiction ; Epistolary fiction ; Didactic fiction ; PS ; Fathers and sons -- Fiction,Public domain in the USA.,1902,George Horace Lorimer,male,American,1867.0,1937.0,Wikipedia,True,2
3838,12142,Sterne,"Traill, H. D. (Henry Duff)",PR,Browsing: Biographies; Browsing: Literature,"Sterne, Laurence, 1713-1768 ; Novelists, English -- 18th century -- Biography ; PR",Public domain in the USA.,1882,Henry Duff Traill,male,British,1842.0,1900.0,"Wikipedia, Wikidata",True,1
3839,12145,The Poetical Works of William Wordsworth — Volume 2 (of 8),"Wordsworth, William",PR,Browsing: Literature; Browsing: Poetry,English poetry -- 19th century ; English poetry -- 18th century ; PR,Public domain in the USA.,1909,William Wordsworth,male,English,1770.0,1850.0,"Wikipedia, Wikidata",True,1
3840,12163,"The Sleeper Awakes
A Revised Edition of When the Sleeper Wakes","Wells, H. G. (Herbert George)",PR,Science Fiction; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Browsing: Fiction,Technological innovations -- Fiction ; London (England) -- Fiction ; Science fiction ; Time travel -- Fiction ; Dystopias -- Fiction ; Twenty-first century -- Fiction ; PR,Public domain in the USA.,1899,Herbert George Wells,male,English,1866.0,1946.0,OpenLibrary,True,41
3841,12170,The wolf hunters,"Curwood, James Oliver",PS,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography; Browsing: Fiction,Wolf hunting -- Fiction ; Wilderness survival -- Fiction ; Hunters -- Fiction ; Indians of North America -- Canada -- Fiction ; PS ; Canada -- Fiction ; Wolves -- Fiction,Public domain in the USA.,1908,James Oliver Curwood,male,American,1878.0,1927.0,"Wikipedia, OpenLibrary",True,20
3842,12172,Alone in London,"Stretton, Hesba",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction,Orphans -- Juvenile fiction ; Children -- Death -- Juvenile fiction ; Reconciliation -- Juvenile fiction ; Poverty -- Juvenile fiction ; Homeless children -- Juvenile fiction ; Children -- Hospitals -- Juvenile fiction ; PZ ; Grandfathers -- Juvenile fiction ; Christian life -- Juvenile fiction ; Poor -- Juvenile fiction,Public domain in the USA.,1870,Hesba Stretton,female,English,1832.0,1911.0,Wikipedia,True,4
3843,12175,The Nest of the Sparrowhawk: A Romance of the XVIIth Century,"Orczy, Emmuska Orczy, Baroness",PR,Browsing: History - British; Browsing: Literature; Browsing: Fiction,"Great Britain -- History -- Commonwealth and Protectorate, 1649-1660 -- Fiction ; Historical fiction ; PR",Public domain in the USA.,1909,"Emmuska Orczy, Orczy",female,"British, English, French",1865.0,1947.0,Wikipedia,True,21
3844,12177,The Precipice: A Novel,"Peattie, Elia Wilkinson",PS,Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction,Women -- Social and moral questions -- Fiction ; Young women -- Fiction ; PS ; Feminist fiction,Public domain in the USA.,1914,Elia Wilkinson Peattie,female,American,1862.0,1935.0,"Wikipedia, OpenLibrary",True,5
3845,12179,Vandemark's Folly,"Quick, Herbert",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Frontier and pioneer life -- Iowa -- Fiction ; PS,Public domain in the USA.,1922,Herbert Quick,male,American,1861.0,1925.0,"Wikipedia, OpenLibrary, Wikidata",True,3
3846,12181,The Story of Bessie Costrell,"Ward, Humphry, Mrs.",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1895,"Humphry, Ward",female,British,1851.0,1920.0,Wikipedia,True,22
3847,12184,Abroad with the Jimmies,"Bell, Lilian",PS,Browsing: Culture/Civilization/Society; Browsing: Travel & Geography,Europe -- Description and travel ; PS,Public domain in the USA.,1902,Lilian Bell,female,American,1867.0,1929.0,"Wikipedia, OpenLibrary",True,4
3848,12187,The Mystery of 31 New Inn,"Freeman, R. Austin (Richard Austin)",PR,Detective Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,"Thorndyke, Doctor (Fictitious character) -- Fiction ; London (England) -- Fiction ; Physicians -- Fiction ; Inheritance and succession -- Fiction ; Detective and mystery stories ; PR",Public domain in the USA.,1913,Richard Austin Freeman,male,British,1862.0,1943.0,Wikipedia,True,5
3849,12190,The Adventures of Captain Horn,"Stockton, Frank R.",PS,"Bestsellers, American, 1895-1923; Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction",Treasure troves -- Fiction ; Brigands and robbers -- Fiction ; Sailors -- Fiction ; Voyages and travels -- Fiction ; Outdoor life -- Fiction ; Peru -- Fiction ; Ship captains -- Fiction ; Adventure stories ; Conduct of life -- Fiction ; PS ; Shipwrecks -- Fiction ; Siblings -- Fiction,Public domain in the USA.,1895,Frank R. Stockton,male,American,1834.0,1902.0,"Wikipedia, Wikidata",True,18
3850,12191,The Red Axe,"Crockett, S. R. (Samuel Rutherford)",PR,Browsing: Literature; Browsing: Fiction,Adventure stories ; Love stories ; PR ; Executions and executioners -- Fiction,Public domain in the USA.,1898,Samuel Rutherford Crockett,male,United Kingdom of Great Britain and Ireland,1859.0,1914.0,"OpenLibrary, Wikidata",True,12
3851,12192,The Long Shadow,"Bower, B. M.",PS,Western; Browsing: Literature; Browsing: Fiction,PS ; Western stories,Public domain in the USA.,1909,B. M. Bower,female,American,1874.0,1940.0,"Wikipedia, OpenLibrary",True,24
3852,12195,The Mystery of Metropolisville,"Eggleston, Edward",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Detective and mystery stories ; PS,Public domain in the USA.,1873,Edward Eggleston,male,American,1837.0,1902.0,"Wikipedia, OpenLibrary, Wikidata",True,6
3853,12196,Red Saunders: His Adventures West & East,"Phillips, Henry Wallace",PS,Browsing: Humour; Browsing: Fiction,Fiction ; PS ; Humorous stories,Public domain in the USA.,1902,Henry Wallace Phillips,male,,1869.0,1930.0,"OpenLibrary, Wikidata",True,5
3854,12197,Mr. Scraggs,"Phillips, Henry Wallace",PS,Browsing: Humour; Browsing: Literature,PS ; Humorous stories,Public domain in the USA.,1906,Henry Wallace Phillips,male,,1869.0,1930.0,"OpenLibrary, Wikidata",True,5
3855,12199,The Chase of Saint-Castin and Other Stories of the French in the New World,"Catherwood, Mary Hartwell",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Literature; Browsing: Fiction,French Canadians -- Fiction ; French -- North America -- Fiction ; PS ; French Americans -- Fiction,Public domain in the USA.,1894,Mary Hartwell Catherwood,female,American,1847.0,1902.0,"Wikipedia, OpenLibrary",True,16
3856,12220,Rada: A Drama of War in One Act,"Noyes, Alfred",PR,One Act Plays; Browsing: History - Warfare; Browsing: Performing Arts/Film; Browsing: Fiction,PR ; War -- Drama,Public domain in the USA.,1913,Alfred Noyes,male,English,1880.0,1958.0,"Wikipedia, Wikidata",True,7
3857,12223,"The Idler, Volume III., Issue XIII., February 1893
An Illustrated Monthly. Edited By Jerome K. Jerome & Robert Barr",Various,AP,Browsing: Culture/Civilization/Society; Browsing: Encyclopedias/Dictionaries/Reference; Browsing: History - British,AP ; London (England) -- Periodicals,Public domain in the USA.,1894,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
3858,12224,We Girls: a Home Story,"Whitney, A. D. T. (Adeline Dutton Train)",PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Families -- Fiction ; PS ; Young women -- United States -- Fiction,Public domain in the USA.,1871,Adeline Dutton Train Whitney,female,American,1824.0,1906.0,"Wikipedia, OpenLibrary",True,1
3859,12225,Tales of lonely trails,"Grey, Zane",F590.3,Western; Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography,F590.3 ; Trails -- United States ; West (U.S.) -- Description and travel,Public domain in the USA.,1922,Zane Grey,male,American,1872.0,1939.0,Wikipedia,True,15
3860,12235,"Popular Law-making
A study of the origin, history, and present tendencies of law-making by statute","Stimson, Frederic Jesup",KF,British Law; Browsing: History - American; Browsing: Law & Criminology,KF ; Legislation -- United States,Public domain in the USA.,1910,Frederic Jesup Stimson,male,American,1855.0,1943.0,"Wikipedia, Wikidata",True,4
3861,12239,Dead Men's Money,"Fletcher, J. S. (Joseph Smith)",PR,Detective Fiction; Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,Detective and mystery stories ; PR,Public domain in the USA.,1920,Joseph Smith Fletcher,male,British,1863.0,1935.0,OpenLibrary,True,10
3862,12240,"The Lady and Sada San
A Sequel to the Lady of the Decoration","Little, Frances",PS,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature; Browsing: Fiction,"PS ; Japan -- History -- Meiji period, 1868-1912 -- Fiction",Public domain in the USA.,1912,Frances Little,female,American,1863.0,1941.0,Wikipedia,True,3
3863,12244,"In the Name of the Bodleian, and Other Essays","Birrell, Augustine",PR,Browsing: Culture/Civilization/Society; Browsing: Literature,Books and reading -- Great Britain ; Bodleian Library ; PR,Public domain in the USA.,1905,Augustine Birrell,male,"British, Irish",1850.0,1933.0,Wikipedia,True,4
3864,12245,The Defendant,"Chesterton, G. K. (Gilbert Keith)",PR,Browsing: Humour; Browsing: Literature,English essays ; PR,Public domain in the USA.,1901,Gilbert Keith Chesterton,male,English,1874.0,1936.0,Wikipedia,True,28
3865,12257,The Go-Getter: A Story That Tells You How to be One,"Kyne, Peter B. (Peter Bernard)",PS,Browsing: Business/Management; Browsing: Psychiatry/Psychology; Browsing: Fiction,Motivation (Psychology) -- Fiction ; Success in business -- Fiction ; Psychological fiction ; PS ; Didactic fiction ; Businessmen -- Fiction,Public domain in the USA.,1921,Peter Bernard Kyne,male,American,1880.0,1957.0,Wikipedia,True,7
3866,12264,Father Payne,"Benson, Arthur Christopher",BD,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,BD ; Life ; Ethics ; Philosophy,Public domain in the USA.,1915,Arthur Christopher Benson,male,English,1862.0,1925.0,Wikipedia,True,15
3867,12265,The Flying Legion,"England, George Allan",PS,Browsing: Science-Fiction & Fantasy,Science fiction ; PS,Public domain in the USA.,1920,George Allan England,male,American,1877.0,1936.0,Wikipedia,True,5
3868,12269,Wee Macgreegor Enlists,"Bell, J. J. (John Joy)",PR,World War I; Browsing: History - Warfare; Browsing: Humour; Browsing: Fiction,"Young men -- Fiction ; Humorous stories ; Scotland -- Fiction ; World War, 1914-1918 -- Fiction ; Man-woman relationships -- Fiction ; PR",Public domain in the USA.,1915,John Joy Bell,male,Scottish,1871.0,1934.0,"Wikipedia, OpenLibrary, Wikidata",True,3
3869,12270,The Doomswoman: An Historical Romance of Old California,"Atherton, Gertrude Franklin Horn",PS,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Fiction,Historical fiction ; PS ; Western stories ; California -- Fiction,Public domain in the USA.,1893,Gertrude Franklin Horn Atherton,female,American,1857.0,1948.0,Wikipedia,True,19
3870,12277,The Delectable Duchy,"Quiller-Couch, Arthur",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,"Short stories, English ; Cornwall (England : County) -- Fiction ; PR",Public domain in the USA.,1893,Arthur Quiller-Couch,male,"English, American",1863.0,1944.0,Wikipedia,True,29
3871,12278,Confessions of a Young Man,"Moore, George",PR,Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: Literature,"Moore, George, 1852-1933 ; PR ; Paris (France) -- Intellectual life",Public domain in the USA.,1886,George Moore,female,United Kingdom,1852.0,1933.0,"OpenLibrary, Wikidata",True,13
3872,12279,The Maid-At-Arms: A Novel,"Chambers, Robert W. (Robert William)",PS,Browsing: History - American; Browsing: Literature; Browsing: Fiction,"PS ; New York (State) -- History -- Revolution, 1775-1783 -- Fiction",Public domain in the USA.,1902,Robert William Chambers,male,American,1865.0,1933.0,Wikipedia,True,32
3873,12280,The Grandissimes,"Cable, George Washington",PS,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature; Browsing: Fiction,Vendetta -- Fiction ; New Orleans (La.) -- Fiction ; Love stories ; Culture conflict -- Fiction ; Creoles -- Fiction ; PS ; Historical fiction ; Domestic fiction,Public domain in the USA.,1880,George Washington Cable,male,American,1844.0,1925.0,"Wikipedia, OpenLibrary",True,12
3874,12281,Cattle Brands: A Collection of Western Camp-Fire Stories,"Adams, Andy",PS,Western; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Frontier and pioneer life -- Fiction ; Ranch life -- Fiction ; PS ; Cowboys -- Fiction ; West (U.S.) -- Social life and customs -- Fiction ; Western stories,Public domain in the USA.,1906,Andy Adams,male,American,1859.0,1935.0,"Wikipedia, OpenLibrary, Wikidata",True,3
3875,12285,"The Atlantic Monthly, Volume 07, No. 44, June, 1861
A Magazine of Literature, Art, and Politics",Various,AP,The Atlantic Monthly; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Politics,AP ; American periodicals,Public domain in the USA.,1862,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
3876,12302,All in It : K(1) Carries On,"Hay, Ian",D501,Browsing: History - General; Browsing: History - Warfare,"World War, 1914-1918 -- Personal narratives, British ; D501",Public domain in the USA.,1917,Ian Hay,male,British,1876.0,1952.0,"Wikipedia, OpenLibrary",True,7
3877,12303,Fated to Be Free: A Novel,"Ingelow, Jean",PR,Browsing: Literature; Browsing: Fiction,Fiction ; PR,Public domain in the USA.,1875,Jean Ingelow,female,English,1820.0,1897.0,Wikipedia,True,1
3878,12308,Winning His Spurs: A Tale of the Crusades,"Henty, G. A. (George Alfred)",PR; PZ,Children's Fiction; Browsing: Children & Young Adult Reading; Browsing: History - Warfare; Browsing: Fiction,"Crusades -- Third, 1189-1192 -- Fiction ; PR ; PZ",Public domain in the USA.,1882,George Alfred Henty,male,"British, English",1832.0,1902.0,Wikipedia,True,7
3879,12310,"The Atlantic Monthly, Volume 09, No. 56, June, 1862
A Magazine of Literature, Art, and Politics",Various,AP,The Atlantic Monthly; Browsing: Culture/Civilization/Society; Browsing: Journalism/Media/Writing; Browsing: Literature,AP ; American periodicals,Public domain in the USA.,1851,Various,male,Kingdom of the Netherlands,1929.0,2022.0,Wikidata,True,3
3880,12314,"Ashton-Kirk, Investigator","McIntyre, John T. (John Thomas)",PS,Browsing: Crime/Mystery; Browsing: Literature; Browsing: Fiction,American fiction -- 20th century ; PS ; Mystery and detective stories,Public domain in the USA.,1910,John Thomas McIntyre,male,American,1871.0,1951.0,"Wikipedia, OpenLibrary",True,6
3881,12316,True Tilda,"Quiller-Couch, Arthur",PR,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,Orphans -- Fiction ; Cornwall (England : County) -- Fiction ; PR,Public domain in the USA.,1909,Arthur Quiller-Couch,male,"English, American",1863.0,1944.0,Wikipedia,True,29
3882,12317,Two Little Knights of Kentucky,"Johnston, Annie F. (Annie Fellows)",PZ,Children's Book Series; Browsing: Children & Young Adult Reading; Browsing: Fiction,Generosity -- Juvenile fiction ; Knights and knighthood -- Juvenile fiction ; Kentucky -- Juvenile fiction ; PZ,Public domain in the USA.,1907,Annie Fellows Johnston,female,American,1863.0,1931.0,Wikipedia,True,4
3883,12321,Rudimental Divine Science,"Eddy, Mary Baker",BX,Christianity; Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,Christian Science ; BX,Public domain in the USA.,1908,Mary Baker Eddy,female,American,1821.0,1910.0,Wikipedia,True,1
3884,12329,Heart of Man,"Woodberry, George Edward",PS,Browsing: Literature; Browsing: Poetry; Browsing: Politics,Democracy ; Taormina (Italy) ; Poetry ; PS,Public domain in the USA.,1920,George Edward Woodberry,male,American,1855.0,1930.0,"Wikipedia, OpenLibrary, Wikidata",True,2
3885,12334,A Bicycle of Cathay,"Stockton, Frank R.",PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,Bicycle touring -- Fiction ; Man-woman relationships -- Fiction ; Young men -- Fiction ; PS,Public domain in the USA.,1900,Frank R. Stockton,male,American,1834.0,1902.0,"Wikipedia, Wikidata",True,18
3886,12335,Overland: A Novel,"De Forest, John William",PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction,New Mexico -- Fiction ; PS,Public domain in the USA.,1871,John William De Forest,male,American,1826.0,1906.0,Wikipedia,True,1
3887,12336,"Brown Wolf and Other Jack London Stories
Chosen and Edited By Franklin K. Mathiews","London, Jack",PZ,Browsing: Literature; Browsing: Fiction,Wolves -- Fiction ; Short stories ; PZ,Public domain in the USA.,1907,Jack London,male,American,1876.0,1916.0,Wikipedia,True,42
3888,12345,"Friday, the Thirteenth: A Novel","Lawson, Thomas William",PS,Browsing: Business/Management; Browsing: Fiction,"National banks (United States) -- Fiction ; Banks and banking, American -- Fiction ; PS ; Stock exchanges -- United States -- Fiction ; Financial crises -- Fiction ; Banks and banking, International -- Fiction",Public domain in the USA.,1907,Thomas William Lawson,male,American,1857.0,1925.0,"Wikipedia, OpenLibrary",True,1
