,Published Year,Etext Number
714,1979,55986
715,1979,53698
716,1979,32356
717,1979,70771
718,1979,42170
719,1979,39159
720,1979,31682
721,1979,33492
722,1979,39040
723,1979,53408
724,1979,67097
725,1979,28614
726,1979,59885
727,1979,62994
728,1979,17050
729,1979,61367
730,1979,27101
731,1979,40078
732,1979,20561
733,1979,72830
734,1979,45209
735,1979,19387
736,1979,32598
737,1979,17291
738,1979,30823
739,1979,64923
740,1979,60860
741,1979,73271
742,1979,40242
743,1979,48241
744,1979,51387
745,1979,37063
746,1979,31940
747,1979,47450
748,1979,42367
749,1979,74727
750,1979,68514
751,1979,1383
752,1979,55982
753,1979,38529
754,1979,1991
755,1979,73680
756,1979,66242
757,1979,71034
758,1979,39979
759,1979,48497
760,1979,69093
761,1979,53910
762,1979,20838
763,1979,28915
764,1979,57646
765,1979,21254
766,1979,45596
767,1979,26893
768,1979,32362
769,1979,13924
770,1979,40425
771,1979,68127
772,1979,53917
773,1979,73019
774,1979,60898
775,1979,25174
776,1979,69307
777,1979,10047
778,1979,29083
779,1979,52161
780,1979,36177
781,1979,24982
782,1979,44391
783,1979,49380
784,1979,33389
785,1979,72107
786,1979,72775
787,1979,21197
788,1979,55583
789,1979,29331
790,1979,39914
791,1979,70100
792,1979,26142
793,1979,50237
794,1979,53770
795,1979,16666
796,1979,25610
797,1979,42059
798,1979,19876
799,1979,73755
800,1979,58551
801,1979,41284
802,1979,62230
803,1979,28925
804,1979,53765
805,1979,39614
806,1979,64332
807,1979,56358
808,1979,38026
809,1979,1382
810,1979,15648
811,1979,32771
812,1979,43517
813,1979,26862
814,1979,27273
815,1979,71827
816,1979,18713
817,1979,34369
818,1979,43800
819,1979,36173
820,1979,23736
821,1979,34942
822,1979,51491
823,1979,55678
824,1979,70164
825,1979,67022
826,1979,49740
827,1979,24635
828,1979,34523
829,1979,20107
830,1979,51415
831,1979,28612
832,1979,55997
833,1979,33687
834,1979,20656
835,1979,53063
836,1979,36569
837,1979,45705
838,1979,60816
839,1979,64636
840,1979,70575
841,1979,24770
842,1979,70307
843,1979,44048
844,1979,59634
845,1979,1057
846,1979,41839
847,1979,58542
848,1979,44750
849,1979,31412
850,1979,46677
851,1979,60280
852,1979,65431
853,1979,20289
854,1979,29264
855,1979,40658
856,1979,48635
857,1979,44973
858,1979,62235
859,1979,35006
860,1979,46449
861,1979,47948
862,1979,52623
863,1979,57164
864,1979,71695
865,1979,33758
866,1979,41810
867,1979,23763
868,1979,58126
869,1979,58895
870,1979,35520
871,1979,61436
872,1979,50321
873,1979,26552
874,1979,654
875,1979,64578
876,1979,54859
877,1979,60220
878,1979,51538
879,1979,69511
880,1979,53776
881,1979,33367
882,1979,58856
883,1979,50651
884,1979,26798
885,1979,25566
886,1979,48441
887,1979,68861
888,1979,54034
889,1979,64312
890,1979,64936
891,1979,70671
892,1979,66785
893,1979,55660
894,1979,52622
895,1979,30114
896,1979,23768
897,1979,54429
898,1979,32483
899,1979,66376
900,1979,56909
901,1979,64455
902,1979,28216
903,1979,46641
904,1979,75561
905,1979,55491
906,1979,48314
907,1979,42004
908,1979,55596
909,1979,52066
910,1979,56088
911,1979,66027
912,1979,71946
913,1979,44191
914,1979,66689
915,1979,33253
916,1979,46434
917,1979,57818
918,1979,26281
919,1979,63514
920,1979,69171
921,1979,44769
922,1979,19922
923,1979,49708
924,1979,37359
925,1979,38091
926,1979,35570
927,1979,65205
928,1979,68662
929,1979,75239
930,1979,25322
931,1979,61261
932,1979,66358
933,1979,36751
934,1979,66012
935,1979,60007
936,1979,47960
937,1979,59276
938,1979,56436
939,1979,36711
940,1979,20160
941,1979,41835
942,1979,38763
943,1979,53288
944,1979,52787
945,1979,66305
946,1979,65261
947,1979,46973
948,1979,38567
949,1979,37814
950,1979,54944
951,1979,70254
952,1979,41922
953,1979,40293
954,1979,65173
955,1979,39684
956,1979,27005
957,1979,53631
958,1979,61055
959,1979,47782
960,1979,43518
961,1979,17558
962,1979,64763
963,1979,66667
964,1979,53040
965,1979,45496
966,1979,65454
967,1979,69416
968,1979,43370
969,1979,34030
970,1979,44401
971,1979,29440
972,1979,31251
973,1979,72477
974,1979,45609
975,1979,68289
976,1979,37041
977,1979,58998
