,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
1750,"Costantini, Anna Miller",Anna Miller Costantini,,,1880.0,,OpenLibrary,True,1
1751,"Pearse, Mark Guy",Mark Guy Pearse,male,,1842.0,1930.0,"Wikipedia, OpenLibrary",True,1
1753,"Flynn, William J. (William James)",William James Flynn,,,,,,False,1
1760,"Dix, Irving Sidney",Irving Sidney Dix,male,,1880.0,1948.0,Wikidata,True,1
1764,"Conklin, Nathaniel, Mrs.","Nathaniel, Conklin",female,,,,OpenLibrary,True,1
1791," Seeley, Richmond",Richmond Seeley,,,,,,False,1
1795,"MacFarlane, Peter Clark",Peter Clark MacFarlane,male,,1871.0,1924.0,"Wikipedia, OpenLibrary",True,1
1800,"Fraser, Thurlow",Thurlow Fraser,,,1869.0,1926.0,OpenLibrary,True,1
1804,"Hanson, Joseph Mills",Joseph Mills Hanson,male,,1876.0,1960.0,Wikidata,True,1
1808,"Gibson, George Herbert",George Herbert Gibson,male,,1846.0,1921.0,"OpenLibrary, Wikidata",True,1
1810,"McKnight, Hiram Peck",Hiram Peck McKnight,,,,,,False,1
1816,"Baker, Elizabeth",Elizabeth Baker,female,,1913.0,1962.0,"OpenLibrary, Wikidata",True,1
1820,"Richardson, Norval",Norval Richardson,,,1877.0,1940.0,OpenLibrary,True,1
1827,"Bagot, Richard",Richard Bagot,male,,1860.0,1921.0,"OpenLibrary, Wikidata",True,1
1829,"Burton, Frederick R. (Frederick Russell)",Frederick Russell Burton,male,,1861.0,1909.0,"OpenLibrary, Wikidata",True,1
1830,"Cable, Boyd",Boyd Cable,male,,1878.0,1943.0,"OpenLibrary, Wikidata",True,1
1847,"Gordon, Elizabeth",Elizabeth Gordon,female,,1866.0,1922.0,"OpenLibrary, Wikidata",True,1
1851,"Preston, Sydney Herman",Sydney Herman Preston,male,,,,Wikidata,True,1
1854,"McConn, Max",Max McConn,,,1881.0,,OpenLibrary,True,1
1858,"Hall, George Eli",George Eli Hall,,,1863.0,1911.0,OpenLibrary,True,1
1860,"Martin, Mabel Wood",Mabel Wood Martin,,,,,,False,1
1863,"Vogel, Julius, Sir","Julius, Vogel",male,,1862.0,1927.0,OpenLibrary,True,1
1871,"McGaffey, Ernest",Ernest McGaffey,male,,1861.0,1941.0,"OpenLibrary, Wikidata",True,1
1893,"Ruzic, Neil P.",Neil P. Ruzic,,,,,,False,1
1894,"Clothier, Bill",Bill Clothier,,,,,,False,1
1903,"Rubin, Leonard",Leonard Rubin,female,,1969.0,,Wikipedia,True,1
1915,"Roberts, Randal H. (Randal Howland), Sir ",Randal Howland Roberts,male,,1837.0,1899.0,"OpenLibrary, Wikidata",True,1
1931,"Gibbons, Louise Élise",Louise Élise Gibbons,,,,,,False,1
1935,"Saul, Jack",Jack Saul,male,,1857.0,1904.0,"OpenLibrary, Wikidata",True,1
1937,"Sykes, D. F. E. ",D. F. E. Sykes,male,,,,Wikidata,True,1
1939,"Wilson, Jean Bingham ",Jean Bingham Wilson,female,,,,OpenLibrary,True,1
1941,"Sykes, D. F. E.",D. F. E. Sykes,male,,,,Wikidata,True,1
1948,"Wayne, Charles Stokes",Charles Stokes Wayne,male,,1858.0,,"Wikipedia, OpenLibrary",True,1
1957,"Courlander, Alphonse",Alphonse Courlander,,,1881.0,1914.0,OpenLibrary,True,1
1959," Pearn, V. A. (Violet A.)",Violet A. Pearn,female,,,,Wikidata,True,1
1965,"Martin, Benjamin Ellis",Benjamin Ellis Martin,,,,1909.0,OpenLibrary,True,1
1966,"De Lisser, Herbert George",Herbert George De Lisser,male,,1878.0,1944.0,Wikipedia,True,1
1974,"Overton, Gwendolen",Gwendolen Overton,female,,1876.0,1958.0,"OpenLibrary, Wikidata",True,1
1975,"Coverdale, Henry Standish",Henry Standish Coverdale,male,,,,OpenLibrary,True,1
1979,"Kelly, T. Howard (Thomas Howard)",Thomas Howard Kelly,male,,1895.0,1967.0,OpenLibrary,True,1
1984,"Loring, Frederic W. (Frederic Wadsworth)",Frederic Wadsworth Loring,,American,1848.0,1871.0,Wikipedia,True,1
