,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
30,"Benson, E. F. (Edward Frederic)",14,22,"{(6840, 'Queen Lucia'): 2, (11493, 'The Blotting Book'): 1, (25919, 'Miss Mapp'): 2, (40793, 'The Rubicon'): 1, (40795, 'Scarlet and Hyssop: A Novel'): 2, (45719, 'Arundel'): 2, (45742, 'Up and Down'): 1, (56579, 'The Countess of Lowndes Square, and Other Stories'): 3, (56948, 'An Autumn Sowing'): 1, (57002, 'The Challoners'): 2, (60168, 'Mrs. Ames'): 1, (60802, 'Colin'): 1, (65309, 'Colin II: A Novel'): 1, (72421, 'The room in the tower, and other stories'): 2}",3,male,English,30
31,"Stoker, Bram",5,22,"{(345, 'Dracula'): 7, (2520, 'The Man'): 3, (3095, 'The Lady of the Shroud'): 7, (42455, 'The Mystery of the Sea'): 2, (65799, 'Lady Athlyne'): 3}",7,male,Irish,7
32,"Whittier, John Greenleaf",3,21,"{(9568, 'The Frost Spirit, and other poems\r\nPart 1 From Volume II of The Works of John Greenleaf Whittier'): 1, (9587, ""Margaret Smith's Journal\r\nPart 1 from Volume V of The Works of John Greenleaf Whittier""): 1, (9589, 'Tales and Sketches\r\nPart 3 from Volume V of The Works of John Greenleaf Whittier'): 19}",19,male,"American, Scottish",35
33,"Maugham, W. Somerset (William Somerset)",7,20,"{(351, 'Of Human Bondage'): 1, (27063, 'The Hero'): 1, (34860, 'East of Suez: A Play in Seven Scenes'): 3, (47229, 'The Merry-go-round'): 1, (47470, 'Mrs. Craddock'): 1, (48788, 'On a Chinese Screen'): 10, (64682, 'The Painted Veil'): 3}",10,male,English,17
34,"Miller, Alex. McVeigh, Mrs.",7,20,"{(31257, ""Dainty's Cruel Rivals; Or, The Fatal Birthday""): 9, (43037, ""Guy Kenmore's Wife, and The Rose and the Lily""): 1, (43471, 'They Looked and Loved; Or, Won by Faith'): 2, (48824, 'Countess Vera; or, The Oath of Vengeance'): 5, (54134, ""The Senator's Bride""): 1, (54570, ""An Old Man's Darling""): 1, (70010, 'The shadow between them;'): 1}",9,female,American,12
35,"MacGrath, Harold",6,19,"{(16041, 'The Grey Cloak'): 1, (16051, 'The Voice in the Fog'): 1, (17359, 'Arms and the Woman'): 1, (17402, 'The Adventures of Kathlyn'): 12, (18443, 'Parrot & Co.'): 3, (27339, 'The Pagan Madonna'): 1}",12,male,American,18
36,"Glasgow, Ellen Anderson Gholson",5,19,"{(14571, ""Life and Gabriella: The Story of a Woman's Courage""): 5, (16505, 'The Voice of the People'): 1, (18286, 'The Miller Of Old Church'): 1, (59015, 'The Shadowy Third, and Other Stories'): 8, (66191, 'Barren Ground'): 4}",8,female,American,9
37,"Rives, Amélie",1,19,"{(33234, 'Shadows of Flames: A Novel'): 19}",19,female,American,3
38,"Harland, Henry",7,19,"{(5610, ""The Cardinal's Snuff-Box""): 2, (15733, 'Grey Roses'): 1, (51986, 'Two Women or One? From the Mss. of Dr. Leonard Benary'): 1, (52701, 'Comedies and Errors'): 12, (52702, 'Mrs Peixada'): 1, (52704, ""As It Was Written: A Jewish Musician's Story""): 1, (54854, 'The Yoke of the Thorah'): 1}",12,male,American,10
39,"England, George Allan",4,18,"{(7463, 'Darkness and Dawn'): 1, (12826, 'The Air Trust'): 9, (48068, 'Cursed'): 7, (60870, 'Underneath the Bough: A Book of Verses'): 1}",9,male,American,5
