Author_Gender_Group,bertopic_topic,topic_label,n_documents,group_total,topic_share
Female,31,"31: sleep, possibly accident, tired, horseback, slept",29,1844,0.015726681127982648
Female,23,"23: dens, den, scandal, smuggle, smuggling",25,1844,0.013557483731019523
Female,27,"27: dream, dreams, visions, delirium, ruby",23,1844,0.012472885032537961
Female,29,"29: fiend, bobus, owen, hope, secret fiend years",23,1844,0.012472885032537961
Female,32,"32: money, business, dollars, revenue, shillings week",23,1844,0.012472885032537961
Female,12,"12: captain, ship, colonel, schooner, ships",22,1844,0.01193058568329718
Female,17,"17: smell, odour, fumes, bowl, pipe",22,1844,0.01193058568329718
Female,41,"41: drood, drood handsome, drood handsome ought, handsome ought, handsome ought deserted",22,1844,0.01193058568329718
Female,34,"34: burned, music, silence, burning, operas",19,1844,0.010303687635574838
Female,24,"24: confessions, english eater, confessions english eater, confessions english, eater",17,1844,0.009219088937093275
Female,26,"26: chinaman, chang, chinatown, chinese, manchu",12,1844,0.006507592190889371
Female,43,"43: white bees, bees, sweet, love, song",11,1844,0.00596529284164859
Female,18,"18: coleridge, wordsworth, southey, sqq, gillman",9,1844,0.004880694143167028
Female,42,"42: alkaloids, drugs, drug, patent, presence drug",9,1844,0.004880694143167028
Female,36,"36: poisoning, poisonous dose, poisonous, administered, death",6,1844,0.0032537960954446853
Female,21,"21: quincey, eater, thomas quincey, confessions, english eater",5,1844,0.0027114967462039045
Female,40,"40: william, dickens, classics, thomas, english",3,1844,0.0016268980477223427
Female,39,"39: jasper, edwin, hag, john jasper, ned",1,1844,0.0005422993492407809
